#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
21.214	500	21.240	339
21.265	501	21.291	370
21.316	500	21.341	407
21.367	500	21.392	445
21.417	501	21.443	484
21.468	501	21.494	520
21.518	501	21.544	553
21.570	503	21.595	581
21.620	502	21.645	602
21.671	501	21.697	613
21.721	501	21.747	619
21.772	502	21.798	616
21.823	501	21.848	603
21.874	501	21.899	585
21.924	501	21.949	557
21.975	500	22.001	525
22.025	500	22.051	490
22.076	500	22.102	452
22.127	500	22.152	414
22.178	498	22.203	378
22.228	499	22.254	346
22.279	499	22.305	318
22.329	499	22.355	297
22.381	498	22.406	285
22.431	499	22.456	281
22.482	498	22.508	285
22.532	499	22.558	296
22.583	500	22.609	318
22.634	499	22.659	344
22.685	500	22.710	377
22.735	500	22.760	411
22.786	501	22.812	449
22.836	500	22.862	487
22.887	501	22.913	523
22.938	501	22.963	553
22.989	501	23.014	580
23.039	500	23.065	600
23.090	501	23.116	608
23.140	500	23.166	614
23.192	501	23.217	610
23.242	501	23.267	597
23.293	500	23.319	577
23.343	501	23.369	550
23.394	500	23.420	519
23.445	500	23.470	484
23.496	500	23.521	448
23.546	499	23.572	410
23.597	499	23.623	377
23.647	499	23.673	345
23.698	500	23.724	320
23.749	499	23.774	300
23.800	498	23.825	289
23.851	499	23.876	286
23.901	499	23.927	291
23.952	499	23.977	304
24.003	500	24.028	324
24.054	500	24.078	352
24.104	500	24.130	383
24.155	500	24.180	418
24.205	501	24.231	454
24.257	501	24.281	490
24.307	501	24.332	524
24.358	501	24.383	554
24.408	500	24.434	579
24.459	501	24.484	596
24.509	501	24.535	606
24.561	501	24.585	609
24.611	501	24.636	604
24.662	501	24.687	591
24.712	500	24.738	570
24.763	501	24.788	544
24.814	498	24.839	513
24.865	500	24.889	479
24.915	499	24.941	443
24.966	500	24.991	409
25.016	499	25.042	374
25.068	499	25.092	345
25.118	500	25.143	320
25.169	499	25.194	303
25.219	500	25.245	294
25.270	500	25.295	290
25.320	500	25.346	297
25.372	500	25.396	311
25.422	500	25.447	331
25.473	500	25.498	358
25.523	499	25.549	389
25.574	499	25.599	424
25.625	498	25.650	458
25.676	500	25.700	493
25.726	501	25.752	526
25.777	500	25.802	554
25.827	501	25.853	577
25.879	500	25.903	595
25.929	500	25.954	603
25.980	501	26.005	605
26.030	501	26.056	599
26.081	501	26.106	584
26.132	500	26.157	564
26.183	501	26.207	539
26.233	500	26.258	508
26.284	500	26.309	473
26.334	500	26.360	439
26.385	500	26.410	404
26.436	499	26.461	373
26.487	500	26.511	345
26.537	500	26.563	322
26.588	500	26.613	306
26.638	500	26.664	298
26.690	500	26.714	296
26.740	500	26.765	303
26.791	500	26.816	317
26.841	500	26.867	338
26.892	499	26.918	365
26.943	500	26.968	394
26.994	499	27.019	428
27.044	500	27.069	462
27.095	500	27.121	496
27.145	500	27.171	526
27.196	501	27.222	554
27.247	501	27.272	575
27.298	500	27.323	591
27.348	501	27.374	598
27.399	501	27.425	600
27.449	500	27.475	593
27.501	500	27.526	579
27.551	501	27.576	559
27.602	501	27.628	532
27.652	501	27.678	502
27.703	500	27.729	469
27.754	500	27.779	435
27.805	500	27.830	402
27.855	500	27.880	372
27.906	498	27.932	344
27.956	500	27.982	324
28.007	498	28.033	309
28.058	500	28.083	301
28.109	499	28.134	301
28.159	500	28.185	309
28.210	499	28.236	323
28.260	499	28.286	344
28.312	499	28.337	371
28.362	500	28.387	401
28.413	500	28.439	433
28.463	500	28.489	465
28.514	501	28.540	499
28.565	500	28.590	529
28.616	501	28.641	555
28.666	500	28.692	575
28.717	500	28.743	588
28.767	500	28.793	595
28.818	501	28.844	595
28.869	501	28.894	587
28.920	501	28.945	573
28.970	501	28.996	553
29.021	501	29.047	527
29.071	500	29.097	497
29.123	500	29.148	464
29.173	500	29.198	430
29.224	500	29.250	400
29.274	501	29.300	371
29.325	499	29.351	345
29.376	500	29.401	326
29.427	500	29.452	312
29.477	500	29.503	306
29.528	500	29.554	306
29.578	499	29.604	314
29.629	499	29.655	329
29.680	500	29.705	351
29.731	499	29.756	376
29.781	499	29.807	406
29.832	500	29.858	437
29.882	499	29.908	470
29.934	500	29.959	501
29.984	500	30.009	530
30.035	500	30.061	554
30.085	500	30.111	573
30.136	500	30.162	585
30.187	500	30.212	592
30.238	501	30.263	590
30.288	501	30.314	582
30.339	501	30.365	567
30.389	501	30.415	546
30.440	501	30.466	521
30.491	500	30.516	492
30.542	501	30.567	460
30.592	501	30.618	428
30.643	499	30.669	398
30.693	500	30.719	369
30.745	501	30.770	346
30.795	500	30.820	328
30.846	500	30.872	317
30.896	499	30.922	310
30.947	499	30.973	311
30.998	500	31.023	320
31.049	499	31.074	336
31.099	499	31.125	356
31.150	499	31.176	382
31.200	499	31.226	411
31.252	500	31.277	442
31.302	499	31.327	474
31.353	500	31.378	504
31.403	500	31.429	531
31.454	500	31.480	553
31.504	500	31.530	571
31.556	501	31.581	582
31.606	501	31.631	588
31.657	501	31.683	584
31.707	500	31.733	577
31.758	501	31.784	561
31.809	500	31.834	542
31.860	501	31.885	515
31.910	503	31.936	487
31.961	501	31.987	456
32.011	501	32.037	426
32.063	499	32.088	396
32.113	500	32.138	369
32.164	498	32.189	347
32.214	500	32.240	330
32.265	500	32.291	319
32.315	499	32.341	314
32.367	499	32.392	317
32.417	499	32.442	326
32.468	500	32.494	342
32.518	499	32.544	364
32.569	499	32.595	388
32.620	500	32.645	417
32.671	498	32.696	446
32.721	501	32.747	477
32.772	500	32.798	505
32.822	499	32.848	532
32.874	500	32.899	553
32.924	500	32.949	568
32.975	501	33.000	577
33.025	500	33.051	583
33.076	501	33.102	580
33.126	501	33.152	571
33.178	501	33.203	555
33.228	502	33.253	535
33.279	500	33.305	510
33.329	501	33.355	482
33.380	501	33.406	453
33.431	500	33.456	423
33.482	500	33.507	395
33.532	501	33.558	370
33.583	499	33.609	349
33.633	500	33.659	332
33.685	499	33.710	322
33.735	499	33.760	320
33.786	501	33.812	323
33.836	499	33.862	332
33.887	500	33.913	348
33.937	499	33.963	369
33.989	499	34.014	394
34.039	499	34.064	421
34.090	500	34.116	450
34.140	500	34.166	479
34.191	500	34.217	507
34.242	499	34.267	532
34.293	500	34.318	552
34.343	500	34.369	567
34.394	501	34.420	576
34.444	501	34.470	579
34.496	501	34.521	574
34.546	501	34.571	566
34.597	501	34.623	549
34.647	501	34.673	529
34.698	501	34.724	505
34.748	501	34.774	477
34.800	500	34.825	449
34.850	499	34.875	420
34.901	500	34.927	393
34.951	500	34.977	369
35.002	500	35.028	349
35.053	499	35.078	335
35.104	500	35.129	326
35.154	499	35.180	323
35.205	499	35.231	326
35.255	498	35.281	338
35.307	499	35.332	353
35.357	499	35.382	375
35.408	499	35.434	399
35.458	500	35.484	426
35.509	500	35.535	454
35.559	500	35.585	482
35.611	500	35.636	509
35.661	500	35.686	532
35.712	501	35.738	550
35.762	500	35.788	564
35.813	501	35.839	572
35.864	501	35.889	574
35.915	501	35.940	570
35.965	501	35.991	560
36.016	501	36.042	544
36.066	501	36.092	524
36.118	500	36.143	499
36.168	501	36.193	473
36.219	501	36.245	445
36.269	500	36.295	418
36.320	500	36.346	392
36.370	499	36.396	369
36.422	500	36.447	352
36.473	499	36.497	338
36.523	499	36.549	330
36.574	499	36.599	328
36.624	499	36.650	333
36.676	498	36.700	343
36.726	499	36.751	360
36.777	497	36.802	380
36.827	499	36.853	404
36.878	499	36.903	431
36.929	500	36.954	457
36.980	500	37.004	485
37.030	500	37.056	510
37.081	500	37.106	531
37.131	501	37.157	547
37.183	501	37.207	562
37.233	501	37.258	569
37.284	501	37.308	570
37.334	500	37.360	565
37.385	501	37.410	554
37.435	501	37.461	539
37.487	501	37.511	518
37.537	500	37.562	493
37.588	501	37.613	468
37.638	500	37.664	443
37.689	500	37.714	415
37.740	500	37.765	391
37.791	499	37.815	370
37.841	500	37.867	353
37.892	499	37.917	341
37.942	499	37.968	334
37.994	500	38.018	333
38.044	499	38.069	338
38.095	499	38.119	350
38.145	499	38.171	366
38.196	498	38.221	386
38.246	499	38.272	409
38.298	501	38.322	435
38.348	500	38.373	461
38.399	500	38.424	486
38.449	500	38.475	510
38.500	501	38.525	532
38.551	501	38.576	547
38.602	501	38.626	559
38.652	501	38.678	565
38.703	502	38.728	565
38.753	501	38.779	560
38.805	501	38.829	549
38.855	501	38.880	533
38.906	501	38.930	513
38.956	500	38.982	490
39.007	501	39.032	465
39.057	500	39.083	438
39.109	500	39.133	413
39.159	499	39.184	390
39.210	499	39.235	371
39.260	499	39.286	354
39.311	499	39.336	343
39.362	499	39.387	338
39.413	499	39.438	337
39.463	498	39.489	343
39.514	497	39.540	355
39.564	499	39.590	372
39.616	499	39.641	391
39.666	499	39.691	414
39.717	500	39.743	439
39.767	499	39.793	465
39.818	500	39.844	489
39.868	500	39.894	512
39.920	501	39.945	531
39.970	501	39.995	547
40.021	501	40.047	556
40.071	501	40.097	561
40.122	501	40.148	561
40.173	501	40.198	555
40.224	501	40.249	543
40.274	501	40.300	528
40.325	501	40.351	508
40.375	501	40.401	485
40.427	500	40.452	461
40.477	500	40.502	437
40.528	500	40.554	413
40.578	501	40.604	389
40.629	499	40.655	371
40.679	498	40.705	356
40.731	499	40.756	346
40.781	499	40.806	341
40.832	498	40.858	341
40.882	499	40.908	349
40.933	500	40.959	360
40.984	499	41.009	377
41.035	499	41.060	397
41.085	500	41.111	418
41.136	500	41.162	443
41.186	500	41.212	467
41.238	501	41.263	490
41.288	500	41.313	512
41.339	501	41.365	530
41.389	500	41.415	543
41.440	501	41.466	554
41.490	500	41.516	558
41.542	501	41.567	556
41.592	501	41.617	550
41.643	501	41.669	539
41.693	502	41.719	523
41.744	500	41.770	503
41.795	500	41.820	481
41.846	500	41.871	457
41.896	499	41.922	433
41.947	499	41.973	410
41.997	500	42.023	390
42.049	499	42.074	372
42.099	500	42.124	359
42.150	498	42.176	350
42.200	499	42.226	346
42.251	500	42.277	348
42.301	499	42.327	355
42.353	499	42.378	366
42.403	499	42.428	381
42.454	500	42.480	402
42.504	500	42.530	423
42.555	500	42.581	447
42.606	501	42.631	470
42.657	501	42.682	492
