#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.250	583	20.276	284
20.301	598	20.327	271
20.352	603	20.377	271
20.403	598	20.428	281
20.453	584	20.479	303
20.504	560	20.530	333
20.554	528	20.580	373
20.606	491	20.631	418
20.656	448	20.681	466
20.707	406	20.733	515
20.757	364	20.783	562
20.808	323	20.834	604
20.858	290	20.884	641
20.910	262	20.935	669
20.960	241	20.985	687
21.011	235	21.037	690
21.061	237	21.087	686
21.112	246	21.138	671
21.163	266	21.188	645
21.214	294	21.239	609
21.264	330	21.290	570
21.315	370	21.341	524
21.365	411	21.391	476
21.417	455	21.442	428
21.467	496	21.492	382
21.518	533	21.544	343
21.568	562	21.594	311
21.619	587	21.645	288
21.670	598	21.695	278
21.721	601	21.746	278
21.771	594	21.796	288
21.822	577	21.848	310
21.872	552	21.898	341
21.923	519	21.949	380
21.974	481	21.999	423
22.025	439	22.050	470
22.075	397	22.101	518
22.126	355	22.152	564
22.176	317	22.202	604
22.228	284	22.253	639
22.278	259	22.303	667
22.329	242	22.355	681
22.379	237	22.405	685
22.430	239	22.456	679
22.481	252	22.506	664
22.532	273	22.557	638
22.582	303	22.607	603
22.633	338	22.659	564
22.683	377	22.709	521
22.734	421	22.760	472
22.785	465	22.810	426
22.836	503	22.861	382
22.887	539	22.912	344
22.937	567	22.963	314
22.988	588	23.013	292
23.039	598	23.064	284
23.090	598	23.114	285
23.140	591	23.166	295
23.191	572	23.216	317
23.241	545	23.267	348
23.293	512	23.317	386
23.343	472	23.368	429
23.394	431	23.418	474
23.444	388	23.470	520
23.495	347	23.520	565
23.545	310	23.571	604
23.597	278	23.621	637
23.647	254	23.672	661
23.698	241	23.723	676
23.748	236	23.774	679
23.799	242	23.824	672
23.850	256	23.875	657
23.901	279	23.925	631
23.951	310	23.977	597
24.002	347	24.027	558
24.052	388	24.078	514
24.104	430	24.128	468
24.154	471	24.179	423
24.205	511	24.230	382
24.255	545	24.281	346
24.306	571	24.331	318
24.356	590	24.382	299
24.408	598	24.432	290
24.458	598	24.483	292
24.509	587	24.534	303
24.559	567	24.585	325
24.610	539	24.635	356
24.661	504	24.686	392
24.712	465	24.736	432
24.762	423	24.788	480
24.813	381	24.838	523
24.863	339	24.889	565
24.915	304	24.939	603
24.965	274	24.990	634
25.016	251	25.041	658
25.066	240	25.092	669
25.117	238	25.142	672
25.167	244	25.193	665
25.219	261	25.243	648
25.269	285	25.294	622
25.320	317	25.345	590
25.370	355	25.396	551
25.421	396	25.446	508
25.472	438	25.497	465
25.523	479	25.547	421
25.573	517	25.599	381
25.624	550	25.649	348
25.674	576	25.700	322
25.726	592	25.750	305
25.776	599	25.801	297
25.827	597	25.852	299
25.877	584	25.903	311
25.928	562	25.954	334
25.978	534	26.004	365
26.030	498	26.055	402
26.080	457	26.105	441
26.131	414	26.157	484
26.181	374	26.207	527
26.232	334	26.258	567
26.283	297	26.308	602
26.334	269	26.359	631
26.384	248	26.410	651
26.435	239	26.461	664
26.485	239	26.511	663
26.537	246	26.562	657
26.587	263	26.612	639
26.638	290	26.664	615
26.688	323	26.714	580
26.739	361	26.765	543
26.790	402	26.815	502
26.841	444	26.866	460
26.891	486	26.916	419
26.942	523	26.968	381
26.992	555	27.018	350
27.043	580	27.069	324
27.094	593	27.119	309
27.145	599	27.170	304
27.195	596	27.221	307
27.246	581	27.272	321
27.296	559	27.322	343
27.348	529	27.373	373
27.398	492	27.423	409
27.449	452	27.475	448
27.499	409	27.525	491
27.550	367	27.576	530
27.601	328	27.626	568
27.652	294	27.677	602
27.702	265	27.727	629
27.753	246	27.779	647
27.803	239	27.829	656
27.854	239	27.880	657
27.905	248	27.930	649
27.956	267	27.981	630
28.006	294	28.032	604
28.057	328	28.083	572
28.107	367	28.133	535
28.159	408	28.184	497
28.209	450	28.234	455
28.260	491	28.286	416
28.310	529	28.336	380
28.361	558	28.387	350
28.412	582	28.437	329
28.463	594	28.488	316
28.513	599	28.538	312
28.564	595	28.590	316
28.614	579	28.640	331
28.665	556	28.691	353
28.716	524	28.741	382
28.767	486	28.792	417
28.817	446	28.843	455
28.868	404	28.894	495
28.918	362	28.944	535
28.970	324	28.995	570
29.020	290	29.045	602
29.071	263	29.097	628
29.121	245	29.147	643
29.172	239	29.198	650
29.223	239	29.248	649
29.274	250	29.299	639
29.324	270	29.350	621
29.375	298	29.401	595
29.425	333	29.451	563
29.476	372	29.502	528
29.527	413	29.552	489
29.578	456	29.603	450
29.629	496	29.654	413
29.679	532	29.705	380
29.730	560	29.755	352
29.781	584	29.806	332
29.832	596	29.856	322
29.882	598	29.908	319
29.933	593	29.958	323
29.983	576	30.009	339
30.035	552	30.059	363
30.085	520	30.110	391
30.136	482	30.161	427
30.186	442	30.212	464
30.237	399	30.262	502
30.287	358	30.313	539
30.339	320	30.363	572
30.389	288	30.414	602
30.440	261	30.465	625
30.490	245	30.516	639
30.541	239	30.566	644
30.592	241	30.617	642
30.643	253	30.667	630
30.693	274	30.719	611
30.744	302	30.769	586
30.794	337	30.820	554
30.846	376	30.870	519
30.896	418	30.921	480
30.947	460	30.972	444
30.997	499	31.023	409
