#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
24.408	545	24.432	439
24.458	566	24.483	455
24.509	580	24.534	474
24.559	587	24.585	493
24.610	588	24.635	512
24.660	580	24.686	532
24.712	566	24.736	548
24.762	545	24.787	561
24.813	520	24.838	572
24.863	491	24.889	577
24.914	459	24.939	578
24.965	427	24.990	574
25.016	396	25.040	565
25.066	369	25.092	553
25.117	347	25.142	538
25.167	328	25.193	519
25.219	315	25.243	498
25.269	313	25.294	477
25.320	314	25.345	456
25.370	323	25.396	437
25.421	338	25.446	420
25.472	359	25.497	407
25.523	384	25.547	398
25.573	413	25.598	394
25.624	444	25.649	395
25.674	473	25.700	398
25.725	502	25.750	410
25.776	528	25.801	424
25.827	548	25.851	443
25.877	563	25.903	462
25.928	573	25.953	486
25.978	575	26.004	509
26.030	571	26.054	530
26.080	560	26.105	549
26.131	543	26.156	566
26.181	522	26.207	579
26.232	496	26.258	586
26.283	469	26.308	590
26.334	440	26.359	589
26.384	411	26.409	580
26.435	386	26.461	568
26.485	364	26.511	551
26.536	345	26.562	531
26.587	332	26.612	507
26.638	326	26.663	486
26.688	326	26.714	461
26.739	331	26.765	439
26.789	344	26.815	418
26.841	360	26.866	401
26.891	382	26.916	389
26.942	406	26.968	384
26.992	433	27.018	382
27.043	459	27.069	387
27.094	486	27.119	397
27.145	510	27.170	411
27.195	531	27.220	431
27.246	546	27.272	452
27.296	556	27.322	476
27.347	560	27.373	501
27.398	559	27.423	525
27.449	552	27.474	548
27.499	539	27.525	568
27.550	521	27.576	583
27.600	500	27.626	594
27.652	476	27.677	599
27.702	451	27.727	598
27.753	424	27.779	592
27.803	402	27.829	580
27.854	380	27.880	564
27.905	361	27.930	543
27.956	349	27.981	520
28.006	342	28.032	493
28.057	339	28.083	468
28.107	343	28.133	443
28.158	351	28.184	421
28.209	365	28.234	401
28.260	383	28.285	386
28.310	403	28.336	376
28.361	425	28.387	373
28.411	449	28.437	377
28.463	473	28.488	384
28.513	494	28.538	398
28.564	513	28.590	417
28.614	528	28.640	439
28.665	539	28.691	464
28.716	545	28.741	492
28.767	545	28.792	519
28.817	541	28.843	544
28.868	530	28.894	566
28.918	517	28.944	585
28.969	500	28.995	598
29.020	480	29.045	606
29.071	458	29.096	607
29.121	437	29.147	603
29.172	416	29.198	592
29.222	397	29.248	576
29.274	381	29.299	556
