#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
18.375	503	18.401	639
18.426	503	18.451	642
18.477	503	18.502	636
18.527	501	18.553	621
18.578	502	18.604	597
18.628	502	18.654	565
18.680	501	18.705	527
18.730	501	18.755	484
18.781	500	18.807	440
18.831	500	18.857	395
18.882	500	18.908	353
18.932	499	18.958	316
18.984	498	19.009	284
19.034	498	19.059	261
19.085	497	19.111	248
19.135	499	19.161	245
19.186	498	19.212	252
19.237	498	19.262	267
19.288	499	19.313	292
19.338	499	19.364	327
19.389	499	19.415	364
19.439	501	19.465	406
19.491	501	19.516	450
19.541	501	19.566	494
19.592	502	19.618	536
19.642	502	19.668	572
19.693	502	19.719	599
19.743	504	19.769	623
19.795	502	19.820	634
19.845	502	19.870	637
19.896	500	19.922	630
19.946	502	19.972	614
19.997	501	20.023	589
20.048	502	20.073	558
20.099	500	20.124	521
20.149	501	20.175	479
20.200	499	20.226	436
20.250	500	20.276	390
20.302	500	20.327	352
20.352	499	20.377	315
20.403	500	20.429	285
20.453	499	20.479	264
20.504	499	20.530	254
20.554	500	20.580	250
20.606	500	20.631	258
20.656	498	20.681	275
20.707	499	20.733	302
20.757	500	20.783	333
20.808	500	20.834	371
20.859	500	20.884	411
20.910	501	20.935	455
20.960	501	20.986	495
21.011	501	21.037	537
21.061	502	21.087	571
21.113	502	21.138	599
21.163	503	21.188	620
21.214	501	21.240	630
21.264	502	21.290	631
21.315	501	21.341	624
21.366	502	21.391	607
21.417	502	21.442	583
21.467	501	21.492	551
21.518	500	21.544	514
21.568	500	21.594	473
21.619	500	21.645	432
21.670	500	21.695	389
21.721	500	21.746	351
21.771	499	21.797	316
21.822	500	21.848	288
21.872	499	21.898	268
21.924	499	21.949	258
21.974	498	21.999	257
22.025	499	22.051	264
22.075	499	22.101	283
22.126	500	22.152	307
22.177	500	22.202	340
22.228	500	22.253	377
22.278	501	22.303	418
22.329	501	22.355	459
22.379	502	22.405	500
22.430	502	22.456	538
22.481	502	22.506	571
22.532	501	22.557	598
22.583	502	22.608	617
22.633	501	22.659	625
22.684	502	22.709	626
22.735	501	22.760	618
22.786	502	22.810	600
22.836	501	22.862	575
22.887	501	22.912	543
22.937	500	22.963	507
22.989	500	23.013	468
23.039	500	23.064	427
23.090	500	23.114	386
23.140	498	23.166	349
23.191	500	23.216	316
23.241	499	23.267	290
23.293	500	23.317	272
23.343	497	23.368	263
23.394	499	23.419	263
23.444	499	23.470	270
23.495	499	23.520	290
23.546	500	23.571	316
23.597	501	23.621	347
23.647	501	23.673	384
23.698	500	23.723	423
23.748	501	23.774	463
23.800	501	23.824	503
23.850	502	23.875	540
23.901	500	23.926	571
23.951	502	23.977	596
24.002	502	24.027	613
24.052	502	24.078	620
24.104	500	24.128	620
24.154	501	24.179	612
24.205	501	24.230	594
24.255	501	24.281	568
24.306	501	24.331	538
24.357	501	24.382	499
24.408	500	24.432	462
24.458	501	24.484	422
24.509	499	24.534	384
24.559	500	24.585	348
24.611	500	24.635	317
24.661	499	24.686	292
24.712	500	24.737	277
24.762	498	24.788	268
24.813	499	24.838	269
24.863	500	24.889	278
24.915	500	24.939	297
24.965	500	24.990	322
25.016	500	25.041	354
25.066	501	25.092	390
25.117	501	25.142	428
25.168	501	25.193	468
25.219	502	25.243	506
25.269	501	25.295	541
25.320	501	25.345	571
25.370	501	25.396	594
25.422	501	25.446	609
25.472	501	25.497	615
25.523	501	25.548	616
25.573	501	25.599	605
25.624	501	25.650	588
25.674	501	25.700	561
25.726	501	25.751	531
25.776	501	25.801	496
25.827	501	25.853	457
25.877	500	25.903	419
25.928	500	25.954	381
25.979	501	26.004	347
26.030	498	26.055	318
26.080	500	26.106	294
26.131	500	26.157	279
26.181	500	26.207	273
26.233	500	26.258	274
26.283	500	26.308	283
26.334	500	26.360	305
26.384	500	26.410	330
26.435	499	26.461	361
26.486	501	26.511	396
26.537	501	26.562	434
26.587	500	26.612	471
26.638	501	26.664	508
26.688	501	26.714	543
26.739	503	26.765	570
26.790	502	26.815	592
26.841	501	26.866	605
26.891	501	26.917	611
26.942	501	26.968	608
26.992	501	27.018	599
27.044	501	27.069	580
27.094	501	27.119	555
27.145	501	27.171	525
27.195	500	27.221	490
27.246	501	27.272	453
27.297	501	27.322	415
27.348	500	27.373	379
27.398	500	27.423	346
27.449	500	27.475	318
27.499	500	27.525	297
27.550	500	27.576	284
27.601	500	27.626	277
27.652	500	27.677	281
27.702	500	27.728	292
27.753	500	27.779	311
27.803	501	27.829	336
27.855	500	27.880	367
27.905	500	27.930	402
27.956	500	27.982	439
28.006	500	28.032	476
28.057	500	28.083	511
28.108	500	28.133	543
28.159	501	28.184	570
28.209	500	28.234	590
28.260	501	28.286	601
28.310	501	28.336	608
28.361	501	28.387	605
28.412	501	28.437	592
28.463	501	28.488	574
28.513	501	28.539	549
28.564	501	28.590	520
28.614	501	28.640	484
28.666	500	28.691	448
28.716	501	28.741	411
28.767	500	28.793	378
28.817	500	28.843	345
28.868	501	28.894	319
28.919	500	28.944	299
28.970	500	28.995	288
29.020	500	29.046	283
29.071	500	29.097	286
29.121	500	29.147	298
29.172	501	29.198	317
29.223	500	29.248	344
29.274	501	29.299	374
29.325	499	29.350	408
29.375	500	29.401	444
29.426	501	29.451	479
29.477	501	29.502	513
29.528	501	29.552	543
29.578	501	29.604	568
29.629	501	29.654	586
29.679	501	29.705	597
29.731	501	29.755	602
29.781	501	29.806	598
29.832	501	29.857	586
29.882	502	29.908	567
29.933	501	29.958	542
29.983	501	30.009	512
30.035	500	30.059	478
30.085	503	30.110	444
30.136	501	30.161	406
30.186	501	30.212	376
30.237	500	30.262	346
30.288	500	30.313	321
30.339	501	30.363	302
30.389	501	30.415	292
30.440	500	30.465	288
30.490	500	30.516	293
30.542	499	30.566	305
30.592	499	30.617	324
30.643	501	30.668	350
30.693	499	30.719	380
30.744	500	30.769	413
30.794	500	30.820	448
30.846	500	30.870	482
30.896	500	30.921	515
30.947	500	30.972	544
30.997	500	31.023	568
31.048	501	31.073	584
31.099	499	31.124	595
31.150	503	31.174	597
31.200	502	31.226	593
31.251	502	31.276	580
31.301	501	31.327	561
31.353	502	31.377	536
31.403	501	31.428	507
31.454	501	31.479	473
31.504	500	31.530	440
31.555	500	31.580	406
31.606	500	31.631	374
31.657	501	31.681	346
31.707	500	31.732	322
31.758	500	31.783	306
31.808	500	31.834	296
31.859	499	31.884	293
31.910	500	31.935	299
31.961	499	31.985	312
32.011	499	32.037	331
32.062	500	32.087	356
32.112	500	32.138	385
32.164	499	32.188	419
32.214	500	32.239	453
32.265	500	32.290	485
32.315	500	32.341	515
32.366	500	32.392	544
32.417	501	32.442	566
32.468	501	32.493	582
32.518	501	32.543	590
32.569	502	32.595	592
32.619	501	32.645	587
32.670	502	32.696	574
32.721	502	32.746	555
32.772	501	32.797	530
32.822	501	32.848	501
32.873	501	32.899	468
32.923	501	32.949	436
32.975	501	33.000	403
33.025	501	33.050	373
33.076	500	33.102	347
33.126	501	33.152	324
33.177	500	33.203	309
33.228	499	33.253	300
33.279	500	33.304	298
33.329	499	33.354	304
33.380	499	33.406	317
33.430	500	33.456	338
33.481	499	33.507	363
33.532	499	33.557	392
33.583	500	33.608	424
33.633	500	33.659	457
33.684	500	33.710	488
33.734	500	33.760	519
33.786	500	33.811	544
33.836	501	33.861	565
33.887	501	33.913	578
33.937	501	33.963	587
33.988	501	34.014	588
34.039	500	34.064	581
34.090	501	34.115	567
34.140	502	34.166	549
34.191	502	34.217	523
34.241	501	34.267	495
34.292	501	34.318	464
34.343	501	34.368	432
34.394	502	34.419	400
34.444	501	34.470	372
34.495	500	34.521	346
34.545	500	34.571	326
34.597	500	34.622	312
34.647	500	34.672	304
34.698	498	34.724	305
34.748	499	34.774	311
34.799	501	34.825	324
34.850	499	34.875	344
34.901	498	34.926	369
34.951	500	34.977	397
35.002	499	35.028	428
35.052	501	35.078	460
35.103	500	35.129	490
35.154	500	35.179	519
35.205	501	35.230	543
35.255	501	35.281	563
35.306	501	35.332	575
35.356	502	35.382	582
35.408	502	35.433	583
35.458	500	35.483	575
35.509	501	35.535	561
35.559	502	35.585	542
35.610	502	35.636	518
35.661	502	35.686	490
35.712	500	35.737	460
35.762	501	35.788	429
35.813	500	35.839	399
35.863	500	35.889	371
35.914	500	35.940	347
35.965	499	35.990	327
36.016	501	36.041	316
36.066	500	36.092	309
36.117	499	36.143	309
36.167	499	36.193	317
36.219	499	36.244	331
36.269	499	36.294	350
36.320	499	36.346	375
36.370	499	36.396	403
36.421	500	36.447	432
36.472	500	36.497	464
36.523	500	36.548	493
36.573	501	36.599	519
36.624	501	36.650	543
36.674	501	36.700	560
36.726	502	36.751	572
36.776	501	36.801	578
36.827	502	36.852	577
36.877	502	36.903	570
36.928	502	36.954	557
36.978	503	37.004	536
37.030	501	37.055	515
37.080	502	37.105	485
37.131	502	37.157	456
37.181	501	37.207	426
37.232	501	37.258	397
37.283	500	37.308	370
37.334	499	37.359	349
37.384	500	37.410	330
37.435	501	37.461	319
37.485	499	37.511	315
37.537	499	37.562	315
37.587	499	37.612	322
37.638	499	37.663	336
37.688	498	37.714	357
37.739	499	37.765	381
37.789	499	37.815	408
37.841	500	37.866	437
37.891	500	37.916	467
37.942	501	37.968	494
37.992	502	38.018	520
38.043	501	38.069	541
38.094	501	38.119	558
38.145	502	38.170	569
38.195	502	38.221	571
38.246	501	38.272	572
38.296	502	38.322	564
38.348	502	38.373	549
38.398	502	38.423	530
38.449	502	38.474	506
38.499	502	38.525	480
38.550	501	38.576	451
38.600	501	38.626	423
38.652	500	38.677	395
38.702	500	38.727	370
38.753	499	38.779	349
38.803	499	38.829	333
38.854	499	38.880	322
38.905	500	38.930	317
38.956	499	38.981	321
39.006	499	39.032	329
39.057	500	39.083	343
39.107	500	39.133	363
39.159	500	39.184	386
39.209	500	39.234	414
39.260	500	39.286	441
39.310	500	39.336	470
39.361	501	39.387	496
39.411	500	39.437	521
39.463	501	39.488	540
39.513	502	39.538	556
39.564	501	39.590	566
39.614	502	39.640	569
39.665	502	39.691	566
39.716	503	39.741	558
39.767	501	39.792	544
39.817	502	39.843	525
39.868	501	39.894	502
39.918	501	39.944	475
